species,island,year,count,largest_g
Adelie,Biscoe,2007,10,3950
Adelie,Biscoe,2008,18,4400
Adelie,Biscoe,2009,16,4775
Adelie,Dream,2007,20,4650
Adelie,Dream,2008,16,4450
Adelie,Dream,2009,20,4475
Adelie,Torgersen,2007,20,4675
Adelie,Torgersen,2008,16,4700
Adelie,Torgersen,2009,16,4300
Chinstrap,Biscoe,2007,0,NA
Chinstrap,Biscoe,2008,0,NA
Chinstrap,Biscoe,2009,0,NA
Chinstrap,Dream,2007,26,4400
Chinstrap,Dream,2008,18,4800
Chinstrap,Dream,2009,24,4450
Chinstrap,Torgersen,2007,0,NA
Chinstrap,Torgersen,2008,0,NA
Chinstrap,Torgersen,2009,0,NA
Gentoo,Biscoe,2007,34,6300
Gentoo,Biscoe,2008,46,6000
Gentoo,Biscoe,2009,44,6000
Gentoo,Dream,2007,0,NA
Gentoo,Dream,2008,0,NA
Gentoo,Dream,2009,0,NA
Gentoo,Torgersen,2007,0,NA
Gentoo,Torgersen,2008,0,NA
Gentoo,Torgersen,2009,0,NA
