title,artist_name,year
Corduroy,Pearl Jam,1994
Grievance,Pearl Jam,2000
Stupidmop,Pearl Jam,1994
Present Tense,Pearl Jam,1996
MFC,Pearl Jam,1998
Lukin,Pearl Jam,1996
It's Lulu,The Boo Radleys,1995
Sparrow,The Boo Radleys,1992
Martin_ Doom! It's Seven O'Clock,The Boo Radleys,1995
Leaves And Sand,The Boo Radleys,1993
High as Monkeys,The Boo Radleys,1998
Comb Your Hair,The Boo Radleys,1998
Butterfly McQueen,The Boo Radleys,1993
Mine Again,Mariah Carey,2005
Don't Forget About Us,Mariah Carey,2005
Babydoll,Mariah Carey,1997
Don't Forget About Us,Mariah Carey,2005
Vision Of Love,Mariah Carey,1990
My One and Only Love,Carly Simon,2005
It Was So Easy  (LP Version),Carly Simon,1972
I've Got A Crush On You,Carly Simon,1994
"Manha De Carnaval (Theme from ""Black Orpheus"")",Carly Simon,2007
